"자전거번호","등록일시","고장구분","등록날짜","자전거","년도","일자"
"SPB-14063","2018-07-21 7:02","페달","2018-07-21",14063,2018,202
"SPB-14073","2018-10-08 22:47","체인","2018-10-08",14073,2018,281
"SPB-14232","2018-08-24 21:43","체인","2018-08-24",14232,2018,236
"SPB-14333","2018-06-23 6:05","기타 ","2018-06-23",14333,2018,174
"SPB-14400","2018-07-12 15:48","기타 ","2018-07-12",14400,2018,193
"SPB-14420","2018-06-04 19:21","안장","2018-06-04",14420,2018,155
"SPB-14439","2018-11-14 22:12","단말기","2018-11-14",14439,2018,318
"SPB-14465","2018-06-12 20:25","안장","2018-06-12",14465,2018,163
"SPB-14483","2018-08-16 17:31","단말기","2018-08-16",14483,2018,228
"SPB-14506","2018-07-29 20:13","페달","2018-07-29",14506,2018,210
"SPB-14519","2018-06-27 17:18","안장","2018-06-27",14519,2018,178
"SPB-14587","2018-07-03 20:23","타이어 ","2018-07-03",14587,2018,184
"SPB-14599","2018-07-08 12:22","기타 ","2018-07-08",14599,2018,189
"SPB-14599","2018-10-24 21:39","체인","2018-10-24",14599,2018,297
"SPB-14607","2018-06-24 6:47","기타 ","2018-06-24",14607,2018,175
"SPB-14613","2018-11-22 14:59","체인","2018-11-22",14613,2018,326
"SPB-14667","2018-06-18 0:17","타이어 ","2018-06-18",14667,2018,169
"SPB-14667","2018-12-09 12:01","기타 ","2018-12-09",14667,2018,343
"SPB-14740","2018-11-12 20:26","체인","2018-11-12",14740,2018,316
"SPB-14750","2018-08-19 19:04","체인","2018-08-19",14750,2018,231
"SPB-14750","2018-11-27 20:50","페달","2018-11-27",14750,2018,331
"SPB-14754","2018-06-10 14:42","기타 ","2018-06-10",14754,2018,161
"SPB-14804","2018-10-31 23:11","체인","2018-10-31",14804,2018,304
"SPB-14906","2018-10-25 8:50","페달","2018-10-25",14906,2018,298
"SPB-14906","2018-10-31 18:52","기타 ","2018-10-31",14906,2018,304
"SPB-14909","2018-08-11 23:31","타이어 ","2018-08-11",14909,2018,223
"SPB-14994","2018-08-18 21:56","페달","2018-08-18",14994,2018,230
"SPB-14994","2018-08-25 23:28","안장","2018-08-25",14994,2018,237
"SPB-15040","2018-10-08 14:53","타이어 ","2018-10-08",15040,2018,281
"SPB-15058","2018-08-18 22:11","안장","2018-08-18",15058,2018,230
"SPB-15058","2018-08-22 22:11","안장","2018-08-22",15058,2018,234
"SPB-15334","2018-09-09 19:13","안장","2018-09-09",15334,2018,252
"SPB-15338","2018-07-20 8:55","기타 ","2018-07-20",15338,2018,201
"SPB-15338","2018-07-22 9:07","페달","2018-07-22",15338,2018,203
"SPB-15444","2018-09-30 13:25","타이어 ","2018-09-30",15444,2018,273
"SPB-15448","2018-07-24 22:54","단말기","2018-07-24",15448,2018,205
"SPB-15602","2018-10-24 14:24","안장","2018-10-24",15602,2018,297
"SPB-15638","2018-09-11 23:20","단말기","2018-09-11",15638,2018,254
"SPB-15714","2018-07-08 22:59","기타 ","2018-07-08",15714,2018,189
"SPB-15717","2018-10-23 3:57","체인","2018-10-23",15717,2018,296
"SPB-15717","2018-11-12 7:41","체인","2018-11-12",15717,2018,316
"SPB-15756","2018-04-09 11:13","타이어 ","2018-04-09",15756,2018,99
"SPB-15792","2018-11-11 14:39","체인","2018-11-11",15792,2018,315
"SPB-15815","2018-06-29 23:54","타이어 ","2018-06-29",15815,2018,180
"SPB-15831","2018-10-05 1:49","안장","2018-10-05",15831,2018,278
"SPB-16070","2018-12-17 8:03","안장","2018-12-17",16070,2018,351
"SPB-16074","2018-10-25 15:29","페달","2018-10-25",16074,2018,298
"SPB-16175","2018-09-28 8:49","기타 ","2018-09-28",16175,2018,271
"SPB-16191","2018-11-12 12:50","안장","2018-11-12",16191,2018,316
"SPB-16241","2018-11-06 15:03","단말기","2018-11-06",16241,2018,310
"SPB-16241","2018-11-12 15:34","기타 ","2018-11-12",16241,2018,316
"SPB-16294","2018-12-30 17:20","체인","2018-12-30",16294,2018,364
"SPB-16345","2018-10-20 17:06","체인","2018-10-20",16345,2018,293
"SPB-16345","2018-11-16 15:07","단말기","2018-11-16",16345,2018,320
"SPB-16390","2018-10-09 16:30","단말기","2018-10-09",16390,2018,282
"SPB-16396","2018-09-17 21:17","타이어 ","2018-09-17",16396,2018,260
"SPB-16488","2018-07-22 23:07","타이어 ","2018-07-22",16488,2018,203
"SPB-16489","2018-10-01 11:17","타이어 ","2018-10-01",16489,2018,274
"SPB-16781","2018-09-30 14:26","단말기","2018-09-30",16781,2018,273
"SPB-16781","2018-11-13 8:38","기타 ","2018-11-13",16781,2018,317
"SPB-16809","2018-07-03 17:23","단말기","2018-07-03",16809,2018,184
"SPB-16844","2018-10-16 8:46","안장","2018-10-16",16844,2018,289
"SPB-16944","2018-07-15 15:18","단말기","2018-07-15",16944,2018,196
"SPB-17099","2018-11-12 23:05","단말기","2018-11-12",17099,2018,316
"SPB-17151","2018-10-16 17:38","타이어 ","2018-10-16",17151,2018,289
"SPB-17173","2018-08-31 22:05","안장","2018-08-31",17173,2018,243
"SPB-17212","2018-09-13 14:16","체인","2018-09-13",17212,2018,256
"SPB-17263","2018-10-19 23:22","단말기","2018-10-19",17263,2018,292
"SPB-17276","2018-06-22 22:47","페달","2018-06-22",17276,2018,173
"SPB-17276","2018-09-12 19:22","안장","2018-09-12",17276,2018,255
"SPB-17278","2018-09-23 19:49","단말기","2018-09-23",17278,2018,266
"SPB-17301","2018-10-18 13:15","타이어 ","2018-10-18",17301,2018,291
"SPB-17301","2018-11-03 23:46","페달","2018-11-03",17301,2018,307
"SPB-17340","2018-09-02 9:54","타이어 ","2018-09-02",17340,2018,245
"SPB-17389","2018-09-02 4:41","단말기","2018-09-02",17389,2018,245
"SPB-17445","2018-08-21 22:32","기타 ","2018-08-21",17445,2018,233
"SPB-17630","2018-10-31 18:00","체인","2018-10-31",17630,2018,304
"SPB-17808","2018-09-07 12:54","기타 ","2018-09-07",17808,2018,250
"SPB-17821","2018-11-23 6:03","타이어 ","2018-11-23",17821,2018,327
"SPB-17883","2018-09-22 10:00","체인","2018-09-22",17883,2018,265
"SPB-17912","2018-10-18 14:56","체인","2018-10-18",17912,2018,291
"SPB-17944","2018-10-13 14:15","타이어 ","2018-10-13",17944,2018,286
"SPB-18045","2018-09-28 13:55","기타 ","2018-09-28",18045,2018,271
"SPB-18092","2018-10-14 19:06","페달","2018-10-14",18092,2018,287
"SPB-18151","2018-09-02 11:28","타이어 ","2018-09-02",18151,2018,245
