"자전거번호","등록일시","고장구분","등록날짜","자전거"
"SPB-06111","2019-06-23 12:47","기타 ","2019-06-23",6111
"SPB-06125","2019-10-23 21:21","체인","2019-10-23",6125
"SPB-06125","2019-10-31 7:26","체인","2019-10-31",6125
"SPB-06144","2019-08-19 7:54","안장","2019-08-19",6144
"SPB-06144","2019-09-06 10:22","타이어 ","2019-09-06",6144
"SPB-06183","2019-10-30 13:08","타이어 ","2019-10-30",6183
"SPB-06183","2019-11-13 9:40","단말기","2019-11-13",6183
"SPB-06191","2019-10-22 18:50","타이어 ","2019-10-22",6191
"SPB-06191","2019-10-29 10:05","단말기","2019-10-29",6191
"SPB-06245","2018-06-21 19:25","단말기","2018-06-21",6245
"SPB-06245","2018-09-27 23:45","타이어 ","2018-09-27",6245
"SPB-06286","2019-10-01 23:05","단말기","2019-10-01",6286
"SPB-06286","2019-11-18 17:06","기타 ","2019-11-18",6286
"SPB-06354","2019-06-12 20:32","체인","2019-06-12",6354
"SPB-06354","2019-11-10 17:48","기타 ","2019-11-10",6354
"SPB-06354","2019-11-11 11:44","기타 ","2019-11-11",6354
"SPB-06354","2019-11-12 13:34","기타 ","2019-11-12",6354
"SPB-06354","2019-11-20 14:35","기타 ","2019-11-20",6354
"SPB-06388","2018-09-22 12:30","안장","2018-09-22",6388
"SPB-06388","2018-09-26 23:24","체인","2018-09-26",6388
"SPB-06389","2019-10-20 22:09","페달","2019-10-20",6389
"SPB-06389","2019-10-21 20:30","페달","2019-10-21",6389
"SPB-06389","2019-11-04 16:34","페달","2019-11-04",6389
"SPB-06410","2018-10-21 21:23","타이어 ","2018-10-21",6410
"SPB-06410","2019-06-24 5:58","안장","2019-06-24",6410
"SPB-06441","2018-07-27 23:46","체인","2018-07-27",6441
"SPB-06441","2019-06-16 12:11","페달","2019-06-16",6441
"SPB-06456","2018-04-26 8:15","기타 ","2018-04-26",6456
"SPB-06456","2018-09-17 23:39","체인","2018-09-17",6456
"SPB-06458","2019-08-18 8:22","타이어 ","2019-08-18",6458
"SPB-06458","2019-08-28 0:37","단말기","2019-08-28",6458
"SPB-06498","2019-09-30 6:23","기타 ","2019-09-30",6498
"SPB-06498","2019-10-09 15:56","안장","2019-10-09",6498
"SPB-06580","2018-09-11 7:15","체인","2018-09-11",6580
"SPB-06580","2019-04-19 8:45","안장","2019-04-19",6580
"SPB-06582","2018-09-06 10:30","타이어 ","2018-09-06",6582
"SPB-06582","2019-07-14 13:03","안장","2019-07-14",6582
"SPB-06587","2019-01-31 16:18","안장","2019-01-31",6587
"SPB-06587","2019-04-07 16:04","안장","2019-04-07",6587
"SPB-06595","2019-10-20 22:29","체인","2019-10-20",6595
"SPB-06595","2019-10-26 2:42","체인","2019-10-26",6595
"SPB-06613","2019-08-19 18:24","타이어 ","2019-08-19",6613
"SPB-06613","2019-08-28 22:00","안장","2019-08-28",6613
"SPB-06613","2019-10-29 13:54","기타 ","2019-10-29",6613
"SPB-06613","2019-11-11 16:51","타이어 ","2019-11-11",6613
"SPB-06631","2018-07-06 11:12","체인","2018-07-06",6631
"SPB-06631","2018-07-07 13:38","체인","2018-07-07",6631
"SPB-06631","2018-07-08 17:47","체인","2018-07-08",6631
"SPB-06684","2019-05-08 1:25","단말기","2019-05-08",6684
"SPB-06684","2019-05-15 4:38","단말기","2019-05-15",6684
"SPB-06689","2019-01-19 1:38","단말기","2019-01-19",6689
"SPB-06689","2019-07-04 23:29","단말기","2019-07-04",6689
"SPB-06691","2018-06-27 22:02","안장","2018-06-27",6691
"SPB-06691","2019-10-28 3:28","체인","2019-10-28",6691
"SPB-06691","2019-10-31 22:48","기타 ","2019-10-31",6691
"SPB-06737","2019-03-09 16:05","기타 ","2019-03-09",6737
"SPB-06737","2019-08-21 8:09","페달","2019-08-21",6737
"SPB-06781","2019-06-02 18:51","기타 ","2019-06-02",6781
"SPB-06781","2019-08-23 22:30","페달","2019-08-23",6781
"SPB-06787","2018-05-13 14:37","타이어 ","2018-05-13",6787
"SPB-06787","2019-09-17 21:26","타이어 ","2019-09-17",6787
"SPB-06801","2019-07-07 20:18","기타 ","2019-07-07",6801
"SPB-06801","2019-07-20 21:42","타이어 ","2019-07-20",6801
"SPB-06861","2018-10-30 9:52","안장","2018-10-30",6861
"SPB-06861","2019-08-20 17:17","안장","2019-08-20",6861
"SPB-06871","2018-06-05 9:09","파손","2018-06-05",6871
"SPB-06871","2018-07-28 18:49","단말기","2018-07-28",6871
"SPB-06888","2018-05-27 13:04","기타 ","2018-05-27",6888
"SPB-06888","2018-06-01 3:14","타이어 ","2018-06-01",6888
"SPB-06897","2018-10-17 23:32","체인","2018-10-17",6897
"SPB-06897","2019-06-01 12:44","체인","2019-06-01",6897
"SPB-06947","2018-05-27 11:45","기타 ","2018-05-27",6947
"SPB-06947","2018-06-05 6:34","체인","2018-06-05",6947
"SPB-06973","2019-08-31 8:16","페달","2019-08-31",6973
"SPB-06973","2019-09-09 21:18","체인","2019-09-09",6973
"SPB-06995","2019-05-09 17:52","기타 ","2019-05-09",6995
"SPB-06995","2019-10-11 18:55","체인","2019-10-11",6995
"SPB-06995","2019-10-14 21:14","페달","2019-10-14",6995
"SPB-07009","2018-06-05 17:06","기타 ","2018-06-05",7009
"SPB-07009","2019-10-05 1:06","체인","2019-10-05",7009
"SPB-07021","2019-08-19 19:46","체인","2019-08-19",7021
"SPB-07021","2019-10-27 17:04","기타 ","2019-10-27",7021
"SPB-07052","2019-06-01 22:47","페달","2019-06-01",7052
"SPB-07052","2019-06-03 9:18","페달","2019-06-03",7052
"SPB-07052","2019-08-23 10:02","페달","2019-08-23",7052
"SPB-07060","2018-05-27 22:00","안장","2018-05-27",7060
"SPB-07060","2019-11-16 14:40","체인","2019-11-16",7060
"SPB-07060","2019-11-23 19:18","체인","2019-11-23",7060
"SPB-07086","2018-05-21 8:47","페달","2018-05-21",7086
"SPB-07086","2018-09-11 19:53","체인","2018-09-11",7086
"SPB-07086","2018-09-14 19:50","체인","2018-09-14",7086
"SPB-07086","2019-05-14 15:01","타이어 ","2019-05-14",7086
"SPB-07118","2018-10-12 9:17","체인","2018-10-12",7118
"SPB-07118","2019-11-12 19:06","안장","2019-11-12",7118
"SPB-07122","2018-08-08 7:43","체인","2018-08-08",7122
"SPB-07122","2018-09-07 21:18","체인","2018-09-07",7122
"SPB-07129","2019-09-23 14:40","체인","2019-09-23",7129
"SPB-07129","2019-10-01 21:14","체인","2019-10-01",7129
"SPB-07152","2018-06-03 0:52","안장","2018-06-03",7152
"SPB-07152","2019-04-05 18:25","기타 ","2019-04-05",7152
"SPB-07166","2018-05-27 19:51","기타 ","2018-05-27",7166
"SPB-07166","2018-09-14 19:54","타이어 ","2018-09-14",7166
"SPB-07222","2018-11-01 15:39","페달","2018-11-01",7222
"SPB-07222","2019-09-29 21:14","페달","2019-09-29",7222
"SPB-07222","2019-10-01 9:47","체인","2019-10-01",7222
"SPB-07238","2018-10-24 23:31","체인","2018-10-24",7238
"SPB-07238","2019-09-03 16:06","기타 ","2019-09-03",7238
"SPB-07239","2019-07-30 22:58","체인","2019-07-30",7239
"SPB-07239","2019-08-04 14:43","체인","2019-08-04",7239
"SPB-07258","2018-09-26 19:42","기타 ","2018-09-26",7258
"SPB-07258","2019-10-12 21:33","기타 ","2019-10-12",7258
"SPB-07266","2019-10-11 20:46","체인","2019-10-11",7266
"SPB-07266","2019-10-25 21:57","체인","2019-10-25",7266
"SPB-07267","2018-06-01 17:56","타이어 ","2018-06-01",7267
"SPB-07267","2019-07-20 14:43","단말기","2019-07-20",7267
